Algorithm,Load,Execution Time (s)
QUEST,1,1.4824161529541016
QUEST_NDVFS,1,1.730393886566162
Fuzzy,1,0.0016188621520996094
NSGA3,1,1.5880632400512695
MQGA,1,12.33828592300415
Greedy,1,0.4279170036315918
MOPSO,1,0.5893561840057373
RL,1,0.286376953125
QUEST,1,1.3370161056518555
QUEST_NDVFS,1,2.2206876277923584
Fuzzy,1,0.0015647411346435547
NSGA3,1,1.582913875579834
MQGA,1,10.688016653060913
Greedy,1,0.41579318046569824
MOPSO,1,0.6028451919555664
RL,1,0.28029322624206543
QUEST,1,3.2972655296325684
QUEST_NDVFS,1,1.1181976795196533
Fuzzy,1,0.0015871524810791016
NSGA3,1,1.6019792556762695
MQGA,1,10.307318687438965
Greedy,1,0.425001859664917
MOPSO,1,0.5355489253997803
RL,1,0.28188490867614746
QUEST,1,3.3423011302948
QUEST_NDVFS,1,2.5624582767486572
Fuzzy,1,0.0014472007751464844
NSGA3,1,1.448564052581787
MQGA,1,17.416532039642334
Greedy,1,0.3017430305480957
MOPSO,1,0.5753018856048584
RL,1,0.20240092277526855
QUEST,1,1.118466854095459
QUEST_NDVFS,1,1.0010290145874023
Fuzzy,1,0.0015473365783691406
NSGA3,1,1.4763414859771729
MQGA,1,21.783273220062256
Greedy,1,0.3402092456817627
MOPSO,1,0.8024828433990479
RL,1,0.2317187786102295
QUEST,1,2.9687135219573975
QUEST_NDVFS,1,1.0052087306976318
Fuzzy,1,0.0015413761138916016
NSGA3,1,1.497305154800415
MQGA,1,16.578114986419678
Greedy,1,0.36004018783569336
MOPSO,1,0.27422618865966797
RL,1,0.24235820770263672
QUEST,1,2.0817816257476807
QUEST_NDVFS,1,1.080265998840332
Fuzzy,1,0.0015094280242919922
NSGA3,1,1.4692573547363281
MQGA,1,15.235560894012451
Greedy,1,0.34360718727111816
MOPSO,1,0.31501197814941406
RL,1,0.24196982383728027
QUEST,1,1.531346321105957
QUEST_NDVFS,1,1.249392032623291
Fuzzy,1,0.001514434814453125
NSGA3,1,1.4770534038543701
MQGA,1,33.28227734565735
Greedy,1,0.3496229648590088
MOPSO,1,0.6485774517059326
RL,1,0.23291397094726562
QUEST,1,1.5174212455749512
QUEST_NDVFS,1,1.9282102584838867
Fuzzy,1,0.0014564990997314453
NSGA3,1,1.4817473888397217
MQGA,1,10.577895641326904
Greedy,1,0.3030989170074463
MOPSO,1,0.5183546543121338
RL,1,0.2073984146118164
QUEST,1,1.0738379955291748
QUEST_NDVFS,1,3.598703384399414
Fuzzy,1,0.0015921592712402344
NSGA3,1,1.5751569271087646
MQGA,1,10.787559032440186
Greedy,1,0.417980432510376
MOPSO,1,0.4950370788574219
RL,1,0.2832198143005371
QUEST,2,2.9071760177612305
QUEST_NDVFS,2,2.046586751937866
Fuzzy,2,0.003929853439331055
NSGA3,2,2.392348051071167
MQGA,2,21.237767696380615
Greedy,2,1.7555158138275146
MOPSO,2,1.228172779083252
RL,2,1.1379563808441162
QUEST,2,2.7323222160339355
QUEST_NDVFS,2,2.280358076095581
Fuzzy,2,0.0040128231048583984
NSGA3,2,2.5917930603027344
MQGA,2,22.040067434310913
Greedy,2,2.1522836685180664
MOPSO,2,0.9089231491088867
RL,2,1.4041409492492676
QUEST,2,3.8371880054473877
QUEST_NDVFS,2,1.6604549884796143
Fuzzy,2,0.003987312316894531
NSGA3,2,2.3865303993225098
MQGA,2,37.86602830886841
Greedy,2,1.8743150234222412
MOPSO,2,0.6670398712158203
RL,2,1.3268074989318848
QUEST,2,3.578010082244873
QUEST_NDVFS,2,1.9926271438598633
Fuzzy,2,0.0040662288665771484
NSGA3,2,2.5726075172424316
MQGA,2,34.9465434551239
Greedy,2,2.165858030319214
MOPSO,2,0.7518868446350098
RL,2,1.4106581211090088
QUEST,2,2.6797544956207275
QUEST_NDVFS,2,1.9888391494750977
Fuzzy,2,0.003813028335571289
NSGA3,2,2.1764304637908936
MQGA,2,23.009691953659058
Greedy,2,1.4568676948547363
MOPSO,2,0.5017108917236328
RL,2,0.9562206268310547
QUEST,2,3.9826087951660156
QUEST_NDVFS,2,2.7425079345703125
Fuzzy,2,0.004053354263305664
NSGA3,2,2.582202196121216
MQGA,2,30.312376260757446
Greedy,2,2.1332075595855713
MOPSO,2,0.9456262588500977
RL,2,1.405888557434082
QUEST,2,2.374572515487671
QUEST_NDVFS,2,1.6530587673187256
Fuzzy,2,0.0039632320404052734
NSGA3,2,2.289418935775757
MQGA,2,36.15817046165466
Greedy,2,1.685053825378418
MOPSO,2,0.5071909427642822
RL,2,1.1091344356536865
QUEST,2,2.8994784355163574
QUEST_NDVFS,2,2.1656229496002197
Fuzzy,2,0.0038814544677734375
NSGA3,2,2.2859838008880615
MQGA,2,41.127721309661865
Greedy,2,1.696291446685791
MOPSO,2,0.56044602394104
RL,2,1.121985912322998
QUEST,2,1.9827861785888672
QUEST_NDVFS,2,2.897071599960327
Fuzzy,2,0.004102230072021484
NSGA3,2,2.6478819847106934
MQGA,2,18.389745473861694
Greedy,2,2.152696132659912
MOPSO,2,0.7949428558349609
RL,2,1.4309632778167725
QUEST,2,2.171299934387207
QUEST_NDVFS,2,2.883185625076294
Fuzzy,2,0.003827333450317383
NSGA3,2,2.1944684982299805
MQGA,2,33.804927825927734
Greedy,2,1.4503602981567383
MOPSO,2,1.1787405014038086
RL,2,0.9609673023223877
QUEST,3,2.6604223251342773
QUEST_NDVFS,3,4.859504461288452
Fuzzy,3,0.003999233245849609
NSGA3,3,2.565639019012451
MQGA,3,31.063722610473633
Greedy,3,2.130572557449341
MOPSO,3,0.941237211227417
RL,3,1.3972349166870117
QUEST,3,6.071301221847534
QUEST_NDVFS,3,1.715348482131958
Fuzzy,3,0.004058361053466797
NSGA3,3,2.5816261768341064
MQGA,3,34.286203145980835
Greedy,3,2.1739389896392822
MOPSO,3,0.6113076210021973
RL,3,1.4191815853118896
QUEST,3,2.155398368835449
QUEST_NDVFS,3,1.5937883853912354
Fuzzy,3,0.0038199424743652344
NSGA3,3,2.1843137741088867
MQGA,3,30.742369174957275
Greedy,3,1.4743566513061523
MOPSO,3,1.2607347965240479
RL,3,0.9729423522949219
QUEST,3,2.2590112686157227
QUEST_NDVFS,3,3.785879611968994
Fuzzy,3,0.003942728042602539
NSGA3,3,2.3396804332733154
MQGA,3,23.192846059799194
Greedy,3,1.7177155017852783
MOPSO,3,0.7194223403930664
RL,3,1.134976863861084
QUEST,3,4.069176435470581
